signature_id,time_window,gene,gene_group,analysis_set,cohort_n,patient_n,pooled_contribution,pooled_se,ci95_lower,ci95_upper,tau2,I2_percent,prediction_lower,prediction_upper,direction_consistency,p_value,cohorts,fdr_within_signature_window,signature_gene,current_hpa_symbol,mapping_status,hpa_blood_cell_specificity,hpa_blood_cell_distribution,primary_cell_type,secondary_cell_types,broad_lineage,hpa_quantitative_evidence,pbmc_sepsis_atlas_scope,interpretation,primary_reference,secondary_context_reference,source_url,secondary_source_doi,absolute_pooled_contribution,signature_window_total_absolute,absolute_share
SIG001,T1,CEACAM1,UP_GEOMETRIC_MEAN,PRIMARY_INDEPENDENT,4,172,-0.140578070622972,0.0574479404033568,-0.3234030563058254,0.0422469150598814,0.011554563574237,89.06984126703931,-0.6649870627222729,0.3838309214763289,1.0,0.091920526860455,GSE236713;GSE57065;GSE95233;GSE54514,0.2704124096802121,CEACAM1,CEACAM1,EXACT,Group enriched,Detected in many,eosinophil,neutrophil,GRANULOCYTE,eosinophil:44.1;neutrophil:26.9,OUTSIDE_OR_LIMITED_IN_PBMC_ATLAS_SCOPE,Potential cell source based on HPA blood-cell RNA enrichment; bulk change may also reflect abundance shifts.,"Human Protein Atlas v25.1 proteinatlas.tsv, downloaded 2026-07-16",Reyes et al. Nature Medicine 2020 sepsis PBMC atlas (SCP548/SCP550); gene-level matrices not redistributed in author repository and not used to override HPA assignment,https://www.proteinatlas.org/about/download,10.1038/s41591-020-0752-4,0.140578070622972,0.3802190107925815,0.36972919983651387
SIG001,T1,ZDHHC19,UP_GEOMETRIC_MEAN,PRIMARY_INDEPENDENT,4,172,-0.0410589709897782,0.0544466779852604,-0.2143326001789723,0.1322146581994158,0.0083147763301808,73.97017338730849,-0.4980164320377803,0.4158984900582239,0.5,0.5055739905208597,GSE236713;GSE57065;GSE95233;GSE54514,0.6179237661921619,ZDHHC19,ZDHHC19,EXACT,Group enriched,Detected in some,memory B-cell,naive B-cell;neutrophil,B_LYMPHOCYTE,memory B-cell:2.5;naive B-cell:2.4;neutrophil:1.5;eosinophil:1.2,DIRECTLY_WITHIN_PROFILED_PBMC_LINEAGE_SCOPE,Potential cell source based on HPA blood-cell RNA enrichment; bulk change may also reflect abundance shifts.,"Human Protein Atlas v25.1 proteinatlas.tsv, downloaded 2026-07-16",Reyes et al. Nature Medicine 2020 sepsis PBMC atlas (SCP548/SCP550); gene-level matrices not redistributed in author repository and not used to override HPA assignment,https://www.proteinatlas.org/about/download,10.1038/s41591-020-0752-4,0.0410589709897782,0.3802190107925815,0.10798768558202587
SIG001,T1,NMRK1,UP_GEOMETRIC_MEAN,PRIMARY_INDEPENDENT,4,172,-0.0089503954513724,0.0074538007197606,-0.0326717160122998,0.014770925109555,4.8550689018866506e-05,16.342518127907578,-0.0528521798559777,0.0349513889532329,0.5,0.3159995268080617,GSE236713;GSE57065;GSE95233;GSE54514,0.4344993493610848,NMRK1,NMRK1,EXACT,Low immune cell specificity,Detected in all,,,BROAD_OR_UNRESOLVED,,UNRESOLVED,HPA reports low/broad immune-cell specificity; no dominant lineage assigned.,"Human Protein Atlas v25.1 proteinatlas.tsv, downloaded 2026-07-16",Reyes et al. Nature Medicine 2020 sepsis PBMC atlas (SCP548/SCP550); gene-level matrices not redistributed in author repository and not used to override HPA assignment,https://www.proteinatlas.org/about/download,10.1038/s41591-020-0752-4,0.0089503954513724,0.3802190107925815,0.023540105037659603
SIG001,T1,GNA15,UP_GEOMETRIC_MEAN,PRIMARY_INDEPENDENT,4,172,-0.0226634090878122,0.0173169408272315,-0.0777736434422613,0.0324468252666368,0.0008820271846186,73.46918581116901,-0.1705835553097727,0.1252567371341481,0.75,0.2818507930185138,GSE236713;GSE57065;GSE95233;GSE54514,0.4344993493610848,GNA15,GNA15,EXACT,Immune cell enhanced,Detected in many,plasmacytoid DC,,DENDRITIC,plasmacytoid DC:67.2,DIRECTLY_WITHIN_PROFILED_PBMC_LINEAGE_SCOPE,Potential cell source based on HPA blood-cell RNA enrichment; bulk change may also reflect abundance shifts.,"Human Protein Atlas v25.1 proteinatlas.tsv, downloaded 2026-07-16",Reyes et al. Nature Medicine 2020 sepsis PBMC atlas (SCP548/SCP550); gene-level matrices not redistributed in author repository and not used to override HPA assignment,https://www.proteinatlas.org/about/download,10.1038/s41591-020-0752-4,0.0226634090878122,0.3802190107925815,0.05960619654595763
SIG001,T1,BATF,UP_GEOMETRIC_MEAN,PRIMARY_INDEPENDENT,4,172,-0.019885972653594,0.0084789379475377,-0.0468697373974701,0.0070977920902819,0.0002124780644478,39.04227696868197,-0.0924428410981533,0.0526708957909651,1.0,0.1007315711294228,GSE236713;GSE57065;GSE95233;GSE54514,0.2704124096802121,BATF,BATF,EXACT,Low immune cell specificity,Detected in all,,,BROAD_OR_UNRESOLVED,,UNRESOLVED,HPA reports low/broad immune-cell specificity; no dominant lineage assigned.,"Human Protein Atlas v25.1 proteinatlas.tsv, downloaded 2026-07-16",Reyes et al. Nature Medicine 2020 sepsis PBMC atlas (SCP548/SCP550); gene-level matrices not redistributed in author repository and not used to override HPA assignment,https://www.proteinatlas.org/about/download,10.1038/s41591-020-0752-4,0.019885972653594,0.3802190107925815,0.05230136339616714
SIG001,T1,C3AR1,UP_GEOMETRIC_MEAN,PRIMARY_INDEPENDENT,4,172,0.0104881159804042,0.028055875653081,-0.078798201833258,0.0997744337940666,0.0025990149246257,84.37215892321127,-0.2398858706502907,0.2608621026110992,0.75,0.7333874414074563,GSE236713;GSE57065;GSE95233;GSE54514,0.806726185548202,C3AR1,C3AR1,EXACT,Group enriched,Detected in many,basophil,eosinophil,GRANULOCYTE,basophil:902.8;eosinophil:452.5;non-classical monocyte:373.1;intermediate monocyte:274.2,OUTSIDE_OR_LIMITED_IN_PBMC_ATLAS_SCOPE,Potential cell source based on HPA blood-cell RNA enrichment; bulk change may also reflect abundance shifts.,"Human Protein Atlas v25.1 proteinatlas.tsv, downloaded 2026-07-16",Reyes et al. Nature Medicine 2020 sepsis PBMC atlas (SCP548/SCP550); gene-level matrices not redistributed in author repository and not used to override HPA assignment,https://www.proteinatlas.org/about/download,10.1038/s41591-020-0752-4,0.0104881159804042,0.3802190107925815,0.027584407098796317
SIG001,T1,FAM214A,DOWN_GEOMETRIC_MEAN,PRIMARY_INDEPENDENT,4,172,-0.0222757807778438,0.0105321810914439,-0.0557938815788942,0.0112423200232065,0.0001934223990654,44.05174201811919,-0.0973381735515817,0.052786611995894,1.0,0.1247706567934622,GSE236713;GSE57065;GSE95233;GSE54514,0.2704124096802121,FAM214A,ATOSA,HISTORICAL_SYMBOL_RESOLVED,Low immune cell specificity,Detected in many,,,BROAD_OR_UNRESOLVED,,UNRESOLVED,HPA reports low/broad immune-cell specificity; no dominant lineage assigned.,"Human Protein Atlas v25.1 proteinatlas.tsv, downloaded 2026-07-16",Reyes et al. Nature Medicine 2020 sepsis PBMC atlas (SCP548/SCP550); gene-level matrices not redistributed in author repository and not used to override HPA assignment,https://www.proteinatlas.org/about/download,10.1038/s41591-020-0752-4,0.0222757807778438,0.3802190107925815,0.05858670962140755
SIG001,T1,TGFBI,DOWN_GEOMETRIC_MEAN,PRIMARY_INDEPENDENT,4,172,-0.0517778022615683,0.0152354127555046,-0.100263685294805,-0.0032919192283317,0.0005428067619965,36.431811723914194,-0.1715527552390225,0.0679971507158857,1.0,0.0425076517340374,GSE236713;GSE57065;GSE95233;GSE54514,0.2704124096802121,TGFBI,TGFBI,EXACT,Group enriched,Detected in many,plasmacytoid DC,classical monocyte,DENDRITIC,plasmacytoid DC:325.2;classical monocyte:252.5;myeloid DC:157.2;intermediate monocyte:149.2;non-classical monocyte:121.9,DIRECTLY_WITHIN_PROFILED_PBMC_LINEAGE_SCOPE,Potential cell source based on HPA blood-cell RNA enrichment; bulk change may also reflect abundance shifts.,"Human Protein Atlas v25.1 proteinatlas.tsv, downloaded 2026-07-16",Reyes et al. Nature Medicine 2020 sepsis PBMC atlas (SCP548/SCP550); gene-level matrices not redistributed in author repository and not used to override HPA assignment,https://www.proteinatlas.org/about/download,10.1038/s41591-020-0752-4,0.0517778022615683,0.3802190107925815,0.13617888846124612
SIG001,T1,MTCH1,DOWN_GEOMETRIC_MEAN,PRIMARY_INDEPENDENT,4,172,0.0003587169409456,0.0025626116596764,-0.00779665706727,0.0085140909491612,0.0,0.0,-0.0106673111117123,0.0113847449936035,0.25,0.8975446910479532,GSE236713;GSE57065;GSE95233;GSE54514,0.8975446910479531,MTCH1,MTCH1,EXACT,Low immune cell specificity,Detected in all,,,BROAD_OR_UNRESOLVED,,UNRESOLVED,HPA reports low/broad immune-cell specificity; no dominant lineage assigned.,"Human Protein Atlas v25.1 proteinatlas.tsv, downloaded 2026-07-16",Reyes et al. Nature Medicine 2020 sepsis PBMC atlas (SCP548/SCP550); gene-level matrices not redistributed in author repository and not used to override HPA assignment,https://www.proteinatlas.org/about/download,10.1038/s41591-020-0752-4,0.0003587169409456,0.3802190107925815,0.0009434481989678537
SIG001,T1,RPGRIP1,DOWN_GEOMETRIC_MEAN,PRIMARY_INDEPENDENT,4,172,-0.0504301163507017,0.024933690459471,-0.1297802474305469,0.0289200147291434,0.0022143856969144,88.5020612437658,-0.2795670630469571,0.1787068303455536,0.75,0.1363176230355009,GSE236713;GSE57065;GSE95233;GSE54514,0.2704124096802121,RPGRIP1,RPGRIP1,EXACT,Immune cell enhanced,Detected in some,neutrophil,,GRANULOCYTE,neutrophil:8.8,OUTSIDE_OR_LIMITED_IN_PBMC_ATLAS_SCOPE,Potential cell source based on HPA blood-cell RNA enrichment; bulk change may also reflect abundance shifts.,"Human Protein Atlas v25.1 proteinatlas.tsv, downloaded 2026-07-16",Reyes et al. Nature Medicine 2020 sepsis PBMC atlas (SCP548/SCP550); gene-level matrices not redistributed in author repository and not used to override HPA assignment,https://www.proteinatlas.org/about/download,10.1038/s41591-020-0752-4,0.0504301163507017,0.3802190107925815,0.13263438944196435
