file,before,after,status
04_04_gene_level_longitudinal_dataset.parquet,81362fd35e102db2d247becd6ae060577c89b5c564e87a14da0f4890ea7190ed,81362fd35e102db2d247becd6ae060577c89b5c564e87a14da0f4890ea7190ed,PASS
04_source_data/04_05_decomposition_reconstruction_qc.csv,db7e412ea3a77c890170b2da1efd2901d405210126857b5cbf64ddbb28b8b7a7,db7e412ea3a77c890170b2da1efd2901d405210126857b5cbf64ddbb28b8b7a7,PASS
04_source_data/04_06_cohort_level_gene_contributions.csv,f55e646782580c59f09b1ddce13eadd02d83cdcbef1c7df83be56487f3486bf4,f55e646782580c59f09b1ddce13eadd02d83cdcbef1c7df83be56487f3486bf4,PASS
04_source_data/04_07_gene_contribution_meta_analysis.csv,99b7f0e86600a1c9e2ec21ab69dc46844589f883a644ef632a7e7f6ebe071e10,99b7f0e86600a1c9e2ec21ab69dc46844589f883a644ef632a7e7f6ebe071e10,PASS
04_source_data/04_08_signature_drift_architecture.csv,6fe96c7a8933fc37b65f7e5faef145e66e24265c0858a04eb6be79604b185158,6fe96c7a8933fc37b65f7e5faef145e66e24265c0858a04eb6be79604b185158,PASS
04_source_data/10_02_classification_stability_matrix.csv,a3c9eca795d5cf3044eef8ddbf282bdc8f109474fdd90fe715624bf4aa14c973,a3c9eca795d5cf3044eef8ddbf282bdc8f109474fdd90fe715624bf4aa14c973,PASS
04_source_data/10_02_scenario_classifications.csv,5266fc9c9afbde76e33d8b1f329d68612a7e394d7ace7bf363b6e4d8c0dcb8ac,5266fc9c9afbde76e33d8b1f329d68612a7e394d7ace7bf363b6e4d8c0dcb8ac,PASS
04_source_data/10_02_continuous_metrics_scenario_E.csv,9e2740ae3a61fb34f28ab582d1b3e44225e3c70b6eccad273e52143271c21be7,9e2740ae3a61fb34f28ab582d1b3e44225e3c70b6eccad273e52143271c21be7,PASS
04_source_data/04_09_pathway_gene_coverage.csv,92aa56658e62f11d09afa1712c553d5ab5719d6cdffccb6246a29fe4b11093a6,92aa56658e62f11d09afa1712c553d5ab5719d6cdffccb6246a29fe4b11093a6,PASS
04_pathway_data/patient_level_pathway_changes.parquet,0dd53fef142f801178a8e1cd74097a6f3a5f212d8afd168799634f5d5aac6d20,0dd53fef142f801178a8e1cd74097a6f3a5f212d8afd168799634f5d5aac6d20,PASS
04_source_data/04_11_meta_longitudinal_pathway_changes.csv,2f19a711625015fbb4fcb967fe47d5d650613211334a39f3a5d582b418cd0abb,2f19a711625015fbb4fcb967fe47d5d650613211334a39f3a5d582b418cd0abb,PASS
04_source_data/04_12_meta_signature_pathway_coupling.csv,9194876c9ec3b81fb6aaee22701970dac8a22bdf5bf681b0e0f5fb89a3419d38,9194876c9ec3b81fb6aaee22701970dac8a22bdf5bf681b0e0f5fb89a3419d38,PASS
04_source_data/04_13_cell_source_annotation.csv,fccba13a9adbd7e51f706afd6f21f83bba86c96a9bb8e5c3869c551cb101effe,fccba13a9adbd7e51f706afd6f21f83bba86c96a9bb8e5c3869c551cb101effe,PASS
04_source_data/04_15_clinical_anchor_availability_audit.csv,8d94db7da4f51e11610f869ab278d274a8f2219af0413d7210ca2b27c8d0291c,8d94db7da4f51e11610f869ab278d274a8f2219af0413d7210ca2b27c8d0291c,PASS
04_source_data/04_20_integrated_signature_interpretation_matrix.csv,f0d5b9720584b00ff3b86e129a5622b9c2213d1d21f638858bc2711da2c32d08,f0d5b9720584b00ff3b86e129a5622b9c2213d1d21f638858bc2711da2c32d08,PASS
